Feature	Gain	Cover	Frequency
Visa_Fvencimiento	0.000175710802409764	0.000725058004640371	0.00191938579654511
mextraccion_autoservicio_delta2	0.000174645751551828	0.00600819127272825	0.00287907869481766
Visa_mpagado_lag2	0.000172219816596318	0.000696315082009792	0.00191938579654511
chomebanking_transacciones	0.000172172960899515	0.00153521514265861	0.00287907869481766
ctarjeta_visa_debitos_automaticos_delta2	0.000170508642573892	0.00251565422406326	0.00191938579654511
Visa_mpagominimo_lag2	0.000169424387475418	0.00398246372116001	0.00191938579654511
cdescubierto_preacordado	0.000167713424256949	0.00403254418460805	0.00191938579654511
ccomisiones_otras_lag1	0.000167091076767391	0.00145262630820044	0.00191938579654511
ccallcenter_transacciones_delta2	0.000166716544387414	0.00448264078091048	0.00191938579654511
Visa_mlimitecompra_delta1	0.000166497245030326	0.00171641688634571	0.00287907869481766
cseguro_vivienda_avg6	0.000165913351194119	0.00605182863561572	0.00287907869481766
ctarjeta_debito_transacciones_avg6	0.000165615554466192	0.00173787994210916	0.00191938579654511
ctransferencias_emitidas_lag1	0.000165155947631899	0.00170181531429612	0.00287907869481766
cliente_antiguedad	0.000164508845734749	0.00105922062916793	0.00191938579654511
Visa_mconsumospesos_lag2	0.000163521551422315	0.000618370300553069	0.00191938579654511
ctarjeta_debito_avg6	0.000162071927893049	0.00199664992241503	0.00383877159309021
Visa_Fvencimiento_lag2	0.000161873359599448	0.000752336586234458	0.00191938579654511
mcuentas_saldo_lag1	0.000161625839615408	0.00204183530296965	0.00287907869481766
cmobile_app_trx	0.000159926237224511	0.00480680404807457	0.00287907869481766
vmr_mpagominimo	0.000158570031469054	0.000670668194713511	0.00191938579654511
vmr_msaldopesos2_lag2	0.000158257898566268	0.0028278098947281	0.00383877159309021
mcuenta_corriente_tend6	0.000155932283708436	0.00152450453393456	0.00191938579654511
mrentabilidad_annual_delta1	0.000155823662452057	0.0032191236579942	0.00287907869481766
Visa_mfinanciacion_limite_delta2	0.000154762954155647	0.00195995771987206	0.00191938579654511
mcaja_ahorro_delta2	0.00015427320988413	0.00117063606288734	0.00287907869481766
Master_fultimo_cierre_lag1	0.000153685071924316	0.0018487514777293	0.00383877159309021
mcomisiones	0.000153276701933006	0.00107444977594745	0.00287907869481766
mrentabilidad_max6	0.000152368126423793	0.00134142006605768	0.00287907869481766
ctarjeta_visa_debitos_automaticos_lag2	0.000149408798643376	0.0013958935526152	0.000959692898272553
vmr_msaldopesos2_delta1	0.000148140072013095	0.00213906754779274	0.00191938579654511
mcaja_ahorro_dolares_lag1	0.000147539598445623	0.00175038959839234	0.00287907869481766
mrentabilidad_tend6	0.000147250407036394	0.00253824691434057	0.00287907869481766
Visa_mconsumospesos_delta2	0.000147113986760977	0.000434992964468894	0.000959692898272553
tcallcenter	0.000147091882460281	0.00179406879959514	0.000959692898272553
mcuenta_corriente_delta2	0.000146038127682986	0.00382724357129182	0.00191938579654511
ctransferencias_emitidas	0.000145415430861156	0.00296357522796861	0.00287907869481766
Master_Fvencimiento	0.000141764432797953	0.00154952384650091	0.00191938579654511
Visa_mfinanciacion_limite_delta1	0.000140082132894747	0.000825720991320391	0.00191938579654511
vm_Fvencimiento_delta2	0.000140061245234034	0.00166152501663491	0.00191938579654511
mrentabilidad_avg6	0.000140004906370624	0.00253678257330408	0.00191938579654511
mcomisiones_otras	0.000139692591272989	0.0012172021078478	0.00191938579654511
vm_mfinanciacion_limite_delta1	0.000138474150421049	0.000692758825206882	0.00191938579654511
mautoservicio_avg6	0.000138359268287129	0.000691503675747032	0.00191938579654511
