fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 233358	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1780	1	1	1	0.1	50	0.5	FALSE	318601	0.0100366892073704	0.200153470128529	0.432519075068376	8.12354159347912	0.0064579698388242	15296	17968000	43
20221029 233609	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	790	1	1	1	0.1	50	0.5	FALSE	318601	0.0102561487109033	0.383839782453654	0.552773833317188	7.24757886424736	0.0255123244526904	14198	17844000	44
20221029 233656	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	341	1	1	1	0.1	50	0.5	FALSE	318601	0.0750770191792095	0.215735838893635	0.374286910678328	7.3349343295273	0.00450052477698862	13707	18106000	45
20221029 233914	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1071	1	1	1	0.1	50	0.5	FALSE	318601	0.0102125447601694	0.443666272890534	0.47435258208132	5.76871250932445	0.0209740960111535	14746	16988000	46
20221029 233958	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	277	1	1	1	0.1	50	0.5	FALSE	318601	0.158855773517447	0.200078668437305	0.433496439225994	8.74417867085575	3.42738345838303e-05	15414	15732000	47
20221029 234158	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	981	1	1	1	0.1	50	0.5	FALSE	318601	0.0101262741127683	0.350547600907605	0.605202946254611	5.61610815385554	0.0303141192834949	13488	18624000	48
20221029 234355	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	914	1	1	1	0.1	50	0.5	FALSE	318601	0.0102842636195516	0.226230068475138	0.572386993929598	5.87259322283305	0.0478000647229063	13370	19500000	49
20221029 234619	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1488	1	1	1	0.1	50	0.5	FALSE	318601	0.0100114663673208	0.2302564712532	0.868756777014382	5.77867658455367	0.0249641032956055	13654	18612000	50
20221029 234822	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1178	1	1	1	0.1	50	0.5	FALSE	318601	0.0101657897389551	0.243279773648128	0.557456526018654	5.91133932401943	0.032094146205812	13618	18924000	51
20221029 235010	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	997	1	1	1	0.1	50	0.5	FALSE	318601	0.0104423186141328	0.215990361388752	0.594157120159826	5.78800078346168	0.0397788430869413	14759	18802000	52
20221029 235340	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3612	1	1	1	0.1	50	0.5	FALSE	318601	0.0114547542900343	0.200417640767832	0.0840186048544817	4.4909292132297	0.0247560035494136	15632	14416000	53
20221029 235551	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1271	1	1	1	0.1	50	0.5	FALSE	318601	0.0104436127233177	0.200471232954364	0.0918383797225476	9.46547937175815	0.0216282100453854	14771	17738000	54
20221029 235757	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	854	1	1	1	0.1	50	0.5	FALSE	318601	0.0102307652452007	0.625935222149195	0.874005658856979	6.57987036766644	0.0161341754074091	14347	17146000	55
20221029 235842	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	299	1	1	1	0.1	50	0.5	FALSE	318601	0.0351582270269925	0.79321466961727	0.371393470860452	6.76590867799908	0.0129816981514894	13651	16778000	56
20221030 000059	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1355	1	1	1	0.1	50	0.5	FALSE	318601	0.0109505067168565	0.297926124775172	0.576000659282267	5.21323381923528	0.0236710117975022	14145	17950000	57
20221030 000120	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	55	1	1	1	0.1	50	0.5	FALSE	318601	0.13202573278841	0.647465483953737	0.776483304007008	5.08759229159997	0.023410889430992	15091	16058000	58
20221030 000352	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	934	1	1	1	0.1	50	0.5	FALSE	318601	0.0100781307660838	0.344689517665596	0.987159289610797	7.34254155102559	0.0213793175272243	14292	17736000	59
20221030 000613	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	761	1	1	1	0.1	50	0.5	FALSE	318601	0.0107819167402335	0.53047062122832	0.682509376721311	6.86090289112957	0.018544459892178	14472	16976000	60
20221030 000938	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1439	1	1	1	0.1	50	0.5	FALSE	318601	0.0102710972126604	0.347324048512784	0.37863576602067	8.72788064057818	0.00312138225947936	13869	18422000	61
20221030 001455	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2015	1	1	1	0.1	50	0.5	FALSE	318601	0.0105384747452702	0.342443556015567	0.340678015456388	9.87845764852342	9.06648870103599e-05	16127	16466000	62
20221030 001639	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	727	1	1	1	0.1	50	0.5	FALSE	318601	0.0107907722393972	0.351118125813908	0.223108064736095	7.8525703253774	0.0254444609731975	15769	17262000	63
20221030 002337	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3063	1	1	1	0.1	50	0.5	FALSE	318601	0.0100619151856428	0.308942605088825	0.710814492090216	8.80884772834512	3.53036320460978e-05	14280	17840000	64
20221030 002438	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	223	1	1	1	0.1	50	0.5	FALSE	318601	0.0935192658434958	0.358743646881657	0.852954315316256	8.92122725677902	0.000197862885031687	15052	15896000	65
20221030 002528	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	449	1	1	1	0.1	50	0.5	FALSE	318601	0.0669915627633614	0.591166619269751	0.0530979207307302	7.19835154161639	0.0190198263189478	13645	17350000	66
20221030 002602	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	49	1	1	1	0.1	50	0.5	FALSE	318601	0.158081949675986	0.574704031052455	0.948505052014353	6.78727209654514	0.0205423537957852	15926	15268000	67
20221030 002718	1223	53571	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	761	1	1	1	0.1	50	0.5	FALSE	318601	0.0229564723865677	0.226488331937817	0.434695893862246	5.92411965909494	0.0244674389235674	13418	18684000	68
